university,course_name,annual_fees,admission_mode,duration
University of Oxford,MSc Civil Engineering,27535,GRE,2 years
Massachusetts Institute of Technology,MBA,8058,University Exam,1 year
ETH Zurich,MSc Business Analytics,16404,University Exam,1 year
Vietnam National University Hanoi,MSc Mathematics,42769,GRE,2 years
Chulalongkorn University,MSc Chemistry,17027,GATE,1 year
Anna University,MSc Cyber Security,35965,University Exam,2 years
National University of Singapore,MSc Mathematics,32649,Merit Based,2 years
University of Tokyo,MSc Biotechnology,18467,Interview + Test,1 year
Anna University,MSc Biotechnology,30453,Merit Based,1 year
Indian Institute of Science,MSc Artificial Intelligence,24909,GATE,2 years
Vietnam National University Hanoi,MSc Computer Science,29340,GRE,1 year
IIT Delhi,MSc Physics,9075,Merit Based,2 years
Vietnam National University Hanoi,MTech Computer Science,48145,Interview + Test,2 years
Stanford University,MSc Physics,10077,GRE,2 years
IIT Bombay,MSc Data Science,20158,GATE,2 years
Stanford University,MSc Computer Science,12985,Entrance Exam,2 years
University of Delhi,MSc Data Science,20415,GATE,2 years
Mahidol University,MSc Cyber Security,13773,Interview + Test,2 years
Kyoto University,MSc Electrical Engineering,51644,Merit Based,1 year
Manipal Academy of Higher Education,MSc Software Engineering,44744,Entrance Exam,2 years
Chulalongkorn University,MSc Data Science,23069,GATE,2 years
IIT Delhi,MSc Mathematics,26741,Merit Based,1 year
IIT Delhi,MSc Biotechnology,59896,GATE,1 year
University of Cambridge,MSc Artificial Intelligence,40494,Interview + Test,2 years
IIT Delhi,MBA,54327,University Exam,1 year
Technical University of Munich,MSc Business Analytics,8999,GRE,2 years
University of Cambridge,MSc Biotechnology,20478,Merit Based,1 year
IIT Delhi,MSc Mechanical Engineering,47803,Merit Based,2 years
Nanyang Technological University,MSc Mechanical Engineering,55747,University Exam,2 years
Anna University,MSc Electrical Engineering,21262,Entrance Exam,2 years
University of Oxford,MSc Computer Science,29825,GATE,1 year
University of Oxford,MSc Civil Engineering,38283,GRE,2 years
Massachusetts Institute of Technology,MTech Computer Science,37153,Merit Based,1 year
IIT Madras,MSc Chemistry,25099,GRE,1 year
Massachusetts Institute of Technology,MSc Chemistry,16741,Interview + Test,1 year
Massachusetts Institute of Technology,MSc Data Science,17508,Merit Based,1 year
Anna University,MSc Business Analytics,55634,Merit Based,2 years
University of Delhi,MSc Biotechnology,56810,Interview + Test,2 years
National University of Singapore,MSc Chemistry,36768,Merit Based,1 year
Manipal Academy of Higher Education,MSc Electrical Engineering,33516,Entrance Exam,1 year
University of Oxford,MSc Artificial Intelligence,49071,Entrance Exam,1 year
IIT Delhi,MSc Software Engineering,20496,Entrance Exam,1 year
Chulalongkorn University,MSc Physics,44289,GATE,1 year
University of Oxford,MSc Machine Learning,41181,Interview + Test,1 year
Manipal Academy of Higher Education,MCA,50334,Interview + Test,1 year
Technical University of Munich,MSc Machine Learning,24940,University Exam,2 years
Harvard University,MSc Physics,31130,GATE,2 years
University of Delhi,MSc Computer Science,30923,Interview + Test,2 years
University of Cambridge,MTech Computer Science,18002,University Exam,1 year
Harvard University,MSc Data Science,45034,GATE,2 years
University of Tokyo,MSc Machine Learning,33627,Interview + Test,1 year
University of Oxford,MSc Business Analytics,38969,University Exam,2 years
University of Tokyo,MSc Artificial Intelligence,31418,Interview + Test,2 years
Nanyang Technological University,MTech Computer Science,13985,Merit Based,1 year
IIT Delhi,MSc Civil Engineering,10571,Interview + Test,1 year
Indian Institute of Science,MBA,47828,GRE,2 years
National University of Singapore,MSc Machine Learning,9370,Merit Based,1 year
Manipal Academy of Higher Education,MSc Civil Engineering,39509,Interview + Test,2 years
University of Oxford,MSc Electrical Engineering,10696,Interview + Test,2 years
IIT Bombay,MSc Software Engineering,19546,GRE,2 years
Chulalongkorn University,MSc Data Science,40784,University Exam,1 year
ETH Zurich,MSc Computer Science,27192,GATE,2 years
Manipal Academy of Higher Education,MSc Chemistry,34223,Merit Based,2 years
Vietnam National University Hanoi,MSc Business Analytics,39349,Interview + Test,2 years
University of Delhi,MSc Cyber Security,17695,Entrance Exam,2 years
Vietnam National University Hanoi,MSc Artificial Intelligence,10011,GATE,2 years
ETH Zurich,MSc Civil Engineering,53381,University Exam,1 year
ETH Zurich,MSc Mechanical Engineering,32437,Merit Based,2 years
Indian Institute of Science,MSc Data Science,36195,GRE,1 year
Mahidol University,MSc Biotechnology,55756,GRE,2 years
Harvard University,MSc Chemistry,59701,Entrance Exam,2 years
Vietnam National University Hanoi,MSc Chemistry,46406,GRE,1 year
Manipal Academy of Higher Education,MSc Software Engineering,14078,GRE,1 year
University of Delhi,MSc Mechanical Engineering,14636,GRE,1 year
Manipal Academy of Higher Education,MSc Software Engineering,20915,GATE,2 years
Manipal Academy of Higher Education,MSc Business Analytics,33801,Merit Based,1 year
Stanford University,MSc Machine Learning,41419,GATE,1 year
Indian Institute of Science,MSc Civil Engineering,17407,University Exam,2 years
University of Oxford,MTech Computer Science,12887,Merit Based,2 years
Harvard University,MSc Chemistry,43173,Entrance Exam,2 years
Technical University of Munich,MSc Civil Engineering,42097,Entrance Exam,1 year
Anna University,MSc Civil Engineering,45808,Interview + Test,1 year
Stanford University,MSc Business Analytics,28375,University Exam,1 year
Chulalongkorn University,MCA,40503,University Exam,1 year
Manipal Academy of Higher Education,MSc Cyber Security,22977,Interview + Test,1 year
University of Tokyo,MSc Machine Learning,42164,Entrance Exam,1 year
IIT Delhi,MCA,12602,University Exam,2 years
Indian Institute of Science,MSc Cyber Security,20666,GATE,1 year
IIT Bombay,MSc Electrical Engineering,41390,GRE,2 years
Massachusetts Institute of Technology,MTech Computer Science,11497,Interview + Test,2 years
Technical University of Munich,MSc Civil Engineering,43485,Interview + Test,1 year
ETH Zurich,MSc Electrical Engineering,35237,Entrance Exam,2 years
IIT Delhi,MTech Computer Science,9459,Merit Based,2 years
University of Tokyo,MSc Machine Learning,19949,GRE,2 years
IIT Bombay,MSc Mathematics,13623,Interview + Test,2 years
Mahidol University,MSc Business Analytics,40662,University Exam,2 years
Technical University of Munich,MSc Civil Engineering,24738,GRE,2 years
University of Cambridge,MTech Computer Science,21792,GRE,1 year
Manipal Academy of Higher Education,MSc Machine Learning,22602,University Exam,1 year
University of Tokyo,MSc Mathematics,20552,GRE,2 years
National University of Singapore,MSc Physics,38006,GRE,2 years
Massachusetts Institute of Technology,MSc Data Science,26132,University Exam,2 years
IIT Bombay,MSc Biotechnology,23236,Interview + Test,2 years
Nanyang Technological University,MTech Computer Science,59572,GRE,2 years
IIT Madras,MSc Cyber Security,9993,GATE,2 years
National University of Singapore,MSc Chemistry,20905,University Exam,1 year
University of Oxford,MSc Business Analytics,53411,Interview + Test,1 year
IIT Bombay,MSc Chemistry,40366,Interview + Test,1 year
Mahidol University,MSc Mechanical Engineering,24994,University Exam,1 year
Nanyang Technological University,MSc Mathematics,43877,Interview + Test,2 years
Harvard University,MTech Computer Science,32400,Merit Based,1 year
Mahidol University,MTech Computer Science,47015,Merit Based,2 years
University of Delhi,MSc Physics,48471,Interview + Test,1 year
University of Cambridge,MTech Computer Science,44768,Interview + Test,2 years
Manipal Academy of Higher Education,MSc Software Engineering,15200,University Exam,1 year
Stanford University,MSc Civil Engineering,16120,Merit Based,2 years
Indian Institute of Science,MSc Data Science,35119,Entrance Exam,2 years
ETH Zurich,MSc Computer Science,38644,University Exam,1 year
IIT Bombay,MSc Mathematics,8439,GATE,2 years
IIT Delhi,MSc Data Science,46415,Interview + Test,2 years
Stanford University,MCA,34520,University Exam,1 year
IIT Madras,MSc Artificial Intelligence,50749,Interview + Test,1 year
Manipal Academy of Higher Education,MSc Mechanical Engineering,14737,Interview + Test,1 year
University of Oxford,MSc Electrical Engineering,37548,Interview + Test,2 years
University of Cambridge,MSc Electrical Engineering,55327,University Exam,1 year
ETH Zurich,MSc Machine Learning,58576,Merit Based,2 years
Harvard University,MSc Cyber Security,23139,GRE,1 year
IIT Bombay,MSc Machine Learning,29346,Interview + Test,2 years
National University of Singapore,MSc Mechanical Engineering,44075,University Exam,2 years
University of Cambridge,MTech Computer Science,28400,GATE,1 year
Mahidol University,MSc Computer Science,51368,GRE,1 year
University of Oxford,MSc Mechanical Engineering,57096,GATE,2 years
Indian Institute of Science,MSc Computer Science,21308,Entrance Exam,2 years
Chulalongkorn University,MSc Computer Science,26775,GATE,1 year
Manipal Academy of Higher Education,MSc Cyber Security,48123,Merit Based,2 years
ETH Zurich,MSc Chemistry,10735,Entrance Exam,2 years
Vietnam National University Hanoi,MSc Software Engineering,33676,University Exam,2 years
University of Tokyo,MSc Electrical Engineering,24751,Entrance Exam,2 years
University of Tokyo,MSc Mechanical Engineering,14348,University Exam,1 year
Chulalongkorn University,MSc Computer Science,11983,Merit Based,1 year
University of Tokyo,MSc Data Science,40755,University Exam,1 year
Mahidol University,MTech Computer Science,8311,University Exam,2 years
IIT Madras,MSc Artificial Intelligence,41116,Entrance Exam,1 year
National University of Singapore,MSc Chemistry,13373,GATE,1 year
Indian Institute of Science,MSc Data Science,14769,University Exam,2 years
Massachusetts Institute of Technology,MBA,58395,Interview + Test,1 year
Anna University,MSc Cyber Security,37666,Interview + Test,1 year
University of Tokyo,MSc Cyber Security,34089,Interview + Test,2 years
Mahidol University,MTech Computer Science,35430,Entrance Exam,2 years
ETH Zurich,MSc Electrical Engineering,23839,Merit Based,1 year
University of Oxford,MCA,49218,Interview + Test,1 year
Anna University,MSc Business Analytics,9524,University Exam,1 year
University of Tokyo,MSc Mechanical Engineering,24090,Entrance Exam,1 year
Anna University,MSc Computer Science,9119,University Exam,2 years
Chulalongkorn University,MSc Data Science,40160,Merit Based,1 year
Anna University,MSc Chemistry,23903,University Exam,1 year
Kyoto University,MCA,16416,GATE,2 years
Indian Institute of Science,MCA,30325,GRE,1 year
Massachusetts Institute of Technology,MSc Mechanical Engineering,54772,GRE,1 year
Mahidol University,MSc Electrical Engineering,52920,GRE,2 years
Anna University,MTech Computer Science,56224,GATE,2 years
Chulalongkorn University,MSc Physics,49595,GATE,2 years
IIT Madras,MSc Software Engineering,21699,GATE,1 year
Vietnam National University Hanoi,MSc Machine Learning,53081,Merit Based,1 year
Kyoto University,MSc Civil Engineering,32380,Merit Based,1 year
Massachusetts Institute of Technology,MSc Business Analytics,21536,University Exam,2 years
Mahidol University,MSc Business Analytics,56752,Entrance Exam,1 year
Stanford University,MSc Computer Science,57838,University Exam,1 year
ETH Zurich,MSc Cyber Security,23893,GRE,2 years
Indian Institute of Science,MTech Computer Science,25423,Interview + Test,1 year
Mahidol University,MCA,43076,GATE,2 years
University of Delhi,MSc Chemistry,13495,GRE,1 year
Massachusetts Institute of Technology,MSc Computer Science,24454,University Exam,2 years
Vietnam National University Hanoi,MSc Civil Engineering,11971,Interview + Test,1 year
National University of Singapore,MSc Civil Engineering,30826,Interview + Test,1 year
Massachusetts Institute of Technology,MSc Mechanical Engineering,49805,GATE,1 year
Harvard University,MSc Business Analytics,53135,GRE,1 year
Technical University of Munich,MSc Chemistry,36622,GRE,1 year
Mahidol University,MSc Electrical Engineering,10323,University Exam,2 years
Stanford University,MSc Biotechnology,33150,GATE,1 year
Nanyang Technological University,MSc Machine Learning,19860,GATE,2 years
Technical University of Munich,MSc Chemistry,29641,University Exam,1 year
University of Oxford,MSc Data Science,53551,Interview + Test,1 year
Nanyang Technological University,MSc Machine Learning,21589,Merit Based,2 years
IIT Madras,MSc Biotechnology,58165,Entrance Exam,2 years
Nanyang Technological University,MSc Biotechnology,9371,University Exam,2 years
Chulalongkorn University,MSc Artificial Intelligence,29625,GATE,1 year
IIT Madras,MSc Biotechnology,44042,University Exam,2 years
University of Tokyo,MCA,35011,GATE,2 years
Harvard University,MSc Chemistry,42217,Interview + Test,1 year
Harvard University,MBA,27920,University Exam,2 years
Vietnam National University Hanoi,MSc Machine Learning,57419,GATE,1 year
Anna University,MSc Computer Science,57232,Interview + Test,2 years
Stanford University,MSc Data Science,56361,University Exam,1 year
Chulalongkorn University,MSc Software Engineering,51057,Interview + Test,1 year
IIT Delhi,MSc Biotechnology,31447,Interview + Test,1 year
Mahidol University,MSc Electrical Engineering,25798,Entrance Exam,1 year
Manipal Academy of Higher Education,MSc Machine Learning,55728,Entrance Exam,1 year
Indian Institute of Science,MSc Business Analytics,45470,Entrance Exam,1 year
Manipal Academy of Higher Education,MSc Artificial Intelligence,29932,Merit Based,2 years
University of Delhi,MCA,55523,University Exam,1 year
National University of Singapore,MSc Civil Engineering,8099,Entrance Exam,2 years
Massachusetts Institute of Technology,MSc Mathematics,42195,University Exam,1 year
University of Tokyo,MSc Computer Science,42367,Interview + Test,2 years
IIT Madras,MSc Physics,42801,GATE,1 year
University of Cambridge,MSc Physics,42861,Entrance Exam,2 years
Chulalongkorn University,MSc Civil Engineering,14198,GRE,2 years
National University of Singapore,MSc Chemistry,32887,Merit Based,2 years
National University of Singapore,MSc Software Engineering,50355,University Exam,1 year
University of Tokyo,MSc Civil Engineering,37286,University Exam,2 years
IIT Bombay,MSc Computer Science,44829,Merit Based,2 years
Manipal Academy of Higher Education,MTech Computer Science,40885,GATE,1 year
Chulalongkorn University,MBA,30939,GRE,1 year
University of Delhi,MSc Business Analytics,26548,Merit Based,2 years
Vietnam National University Hanoi,MSc Physics,14119,Interview + Test,2 years
