name,location,university_type,accreditation,ranking_score,actual_location
Engineering College Kochi,India,Public,"NAAC A++, UGC Approved",6.6,"Kochi, India"
Institute of Management Jaipur,India,Public,"NAAC A++, NBA Accredited",8.9,"Jaipur, India"
Telangana Engineering College,India,Private,"AICTE Approved, NBA Accredited",6.5,"Telangana, India"
Madhya Pradesh University,India,Public,NAAC A+,9.3,"Madhya Pradesh, India"
University Kolkata,India,Private,"NAAC A++, UGC Approved",7.5,"Kolkata, India"
Uttar Pradesh National Institute,India,Private,"AICTE Approved, UGC Approved",6.8,"Uttar Pradesh, India"
Odisha Academy,India,Public,"AICTE Approved, NAAC A++",6.4,"Odisha, India"
Kerala School of Computing,India,Private,"UGC Approved, NBA Accredited",7.1,"Kerala, India"
Haryana Vidyapeeth,India,Public,NBA Accredited,8.2,"Haryana, India"
Engineering College Ahmedabad,India,Private,"NAAC A+, NAAC A++",7.2,"Ahmedabad, India"
Institute of Management Hyderabad,India,Public,NAAC A+,6.8,"Hyderabad, India"
University Bhopal,India,Public,"UGC Approved, NBA Accredited",6.5,"Bhopal, India"
Punjab Institute of Advanced Studies,India,Public,AICTE Approved,9.3,"Punjab, India"
Polytechnic Institute Delhi,India,Public,NAAC A+,8.9,"Delhi, India"
Tamil Nadu Institute of Advanced Studies,India,Public,NAAC A++,8.9,"Tamil Nadu, India"
Odisha Institute of Management,India,Private,NAAC A++,9.3,"Odisha, India"
Uttar Pradesh Engineering College,India,Private,AICTE Approved,6.5,"Uttar Pradesh, India"
Gujarat Institute of Management,India,Private,"UGC Approved, NBA Accredited",7.6,"Gujarat, India"
School of Computing Jaipur,India,Public,UGC Approved,6.0,"Jaipur, India"
Institute of Management Pune,India,Public,"NAAC A++, NAAC A++",7.9,"Pune, India"
Polytechnic Institute Chandigarh,India,Public,"AICTE Approved, UGC Approved",6.4,"Chandigarh, India"
Odisha Polytechnic Institute,India,Public,"AICTE Approved, NBA Accredited",8.4,"Odisha, India"
School of Computing Patna,India,Private,"UGC Approved, NAAC A+",8.7,"Patna, India"
Maharashtra School of Computing,India,Public,"AICTE Approved, NBA Accredited",6.1,"Maharashtra, India"
Vidyapeeth Lucknow,India,Public,"NAAC A+, NAAC A++",6.5,"Lucknow, India"
University of Applied Sciences Heidelberg,Germany,Private,FIBAA,7.6,"Heidelberg, Germany"
University of Applied Sciences Stuttgart,Germany,Public,State Accredited,8.3,"Stuttgart, Germany"
Technical University of Bonn,Germany,Public,State Accredited,8.9,"Bonn, Germany"
Fachhochschule North Rhine-Westphalia,Germany,Public,ASIIN,8.2,"North Rhine-Westphalia, Germany"
Fachhochschule Berlin,Germany,Private,Wissenschaftsrat,8.8,"Berlin, Germany"
University of Applied Sciences North Rhine-Westphalia,Germany,Public,State Accredited,7.8,"North Rhine-Westphalia, Germany"
Hochschule Bavaria,Germany,Private,AQAS,7.1,"Bavaria, Germany"
University of Applied Sciences Hesse,Germany,Public,State Accredited,7.0,"Hesse, Germany"
International University Saxony,Germany,Public,Wissenschaftsrat,9.3,"Saxony, Germany"
University of Münster,Germany,Public,AQAS,8.7,"Münster, Germany"
Technical University of North Rhine-Westphalia,Germany,Private,AQAS,9.3,"North Rhine-Westphalia, Germany"
Fachhochschule Bonn,Germany,Private,AQAS,9.7,"Bonn, Germany"
Institute of Technology Rhineland-Palatinate,Germany,Public,Wissenschaftsrat,7.5,"Rhineland-Palatinate, Germany"
Fachhochschule Hamburg,Germany,Public,ASIIN,8.8,"Hamburg, Germany"
Fachhochschule Stuttgart,Germany,Public,State Accredited,7.5,"Stuttgart, Germany"
International University Hesse,Germany,Private,AQAS,9.6,"Hesse, Germany"
University of Stuttgart,Germany,Public,Wissenschaftsrat,8.6,"Stuttgart, Germany"
University of Applied Sciences Baden-Württemberg,Germany,Public,FIBAA,8.9,"Baden-Württemberg, Germany"
International University Cologne,Germany,Public,Wissenschaftsrat,9.4,"Cologne, Germany"
Fachhochschule Dresden,Germany,Public,Wissenschaftsrat,7.2,"Dresden, Germany"
University of Saxony,Germany,Public,ASIIN,8.1,"Saxony, Germany"
Technical University of Berlin,Germany,Public,ASIIN,7.3,"Berlin, Germany"
Fachhochschule Karlsruhe,Germany,Public,Wissenschaftsrat,7.5,"Karlsruhe, Germany"
University of Applied Sciences Dresden,Germany,Public,ASIIN,9.4,"Dresden, Germany"
Hochschule Rhineland-Palatinate,Germany,Public,FIBAA,8.8,"Rhineland-Palatinate, Germany"
International University Berlin,Germany,Private,FIBAA,7.8,"Berlin, Germany"
Fachhochschule Aachen,Germany,Public,FIBAA,9.6,"Aachen, Germany"
University of Bremen,Germany,Public,Wissenschaftsrat,9.3,"Bremen, Germany"
University of Applied Sciences Hannover,Germany,Public,AQAS,8.1,"Hannover, Germany"
International University Dresden,Germany,Public,AQAS,8.9,"Dresden, Germany"
University of Applied Sciences Frankfurt,Germany,Private,ASIIN,8.8,"Frankfurt, Germany"
University of Dresden,Germany,Public,ASIIN,9.2,"Dresden, Germany"
Technical University of Nuremberg,Germany,Public,Wissenschaftsrat,8.1,"Nuremberg, Germany"
Institute of Technology Baden-Württemberg,Germany,Public,AQAS,9.8,"Baden-Württemberg, Germany"
Technical University of Cologne,Germany,Private,Wissenschaftsrat,9.0,"Cologne, Germany"
University of Cologne,Germany,Public,FIBAA,8.6,"Cologne, Germany"
University of Applied Sciences Leipzig,Germany,Public,AQAS,7.8,"Leipzig, Germany"
University of Nuremberg,Germany,Public,AQAS,9.6,"Nuremberg, Germany"
Fachhochschule Baden-Württemberg,Germany,Public,AQAS,7.2,"Baden-Württemberg, Germany"
International University Hannover,Germany,Private,Wissenschaftsrat,9.7,"Hannover, Germany"
Fachhochschule Leipzig,Germany,Private,ASIIN,9.0,"Leipzig, Germany"
University of Applied Sciences Lower Saxony,Germany,Public,Wissenschaftsrat,7.1,"Lower Saxony, Germany"
Institute of Technology Hamburg,Germany,Public,Wissenschaftsrat,7.1,"Hamburg, Germany"
Institute of Technology Bavaria,Germany,Public,State Accredited,9.6,"Bavaria, Germany"
International University North Rhine-Westphalia,Germany,Public,State Accredited,8.5,"North Rhine-Westphalia, Germany"
Institute of Technology North Rhine-Westphalia,Germany,Private,ASIIN,7.3,"North Rhine-Westphalia, Germany"
International University Frankfurt,Germany,Public,State Accredited,8.2,"Frankfurt, Germany"
Technical University of Saxony,Germany,Public,AQAS,7.4,"Saxony, Germany"
International University Leipzig,Germany,Private,FIBAA,7.9,"Leipzig, Germany"
International University Munich,Germany,Public,State Accredited,7.0,"Munich, Germany"
Fachhochschule Thuringia,Germany,Public,ASIIN,8.8,"Thuringia, Germany"
Fachhochschule Nuremberg,Germany,Public,State Accredited,8.0,"Nuremberg, Germany"
Technical University of Dresden,Germany,Public,FIBAA,9.3,"Dresden, Germany"
Fachhochschule Rhineland-Palatinate,Germany,Private,Wissenschaftsrat,9.2,"Rhineland-Palatinate, Germany"
International University Düsseldorf,Germany,Public,Wissenschaftsrat,7.1,"Düsseldorf, Germany"
International University Münster,Germany,Public,Wissenschaftsrat,7.5,"Münster, Germany"
Technical University of Düsseldorf,Germany,Private,State Accredited,8.6,"Düsseldorf, Germany"
Institute of Technology Aachen,Germany,Public,Wissenschaftsrat,9.6,"Aachen, Germany"
University of Bonn,Germany,Private,AQAS,8.0,"Bonn, Germany"
Fachhochschule Münster,Germany,Public,State Accredited,7.1,"Münster, Germany"
International University Aachen,Germany,Public,ASIIN,7.4,"Aachen, Germany"
University of Applied Sciences Hamburg,Germany,Public,Wissenschaftsrat,9.2,"Hamburg, Germany"
International University Heidelberg,Germany,Public,State Accredited,7.6,"Heidelberg, Germany"
International University Nuremberg,Germany,Public,FIBAA,7.5,"Nuremberg, Germany"
Fachhochschule Bremen,Germany,Public,AQAS,8.0,"Bremen, Germany"
Institute of Technology Lower Saxony,Germany,Public,AQAS,9.0,"Lower Saxony, Germany"
Fachhochschule Frankfurt,Germany,Private,State Accredited,7.6,"Frankfurt, Germany"
Hochschule Saxony,Germany,Public,ASIIN,8.6,"Saxony, Germany"
Fachhochschule Düsseldorf,Germany,Public,State Accredited,9.6,"Düsseldorf, Germany"
Fachhochschule Saxony,Germany,Private,State Accredited,8.3,"Saxony, Germany"
Hochschule Thuringia,Germany,Public,State Accredited,8.2,"Thuringia, Germany"
Hochschule North Rhine-Westphalia,Germany,Private,State Accredited,7.9,"North Rhine-Westphalia, Germany"
Hochschule Baden-Württemberg,Germany,Public,State Accredited,7.4,"Baden-Württemberg, Germany"
University of Applied Sciences Thuringia,Germany,Public,State Accredited,8.1,"Thuringia, Germany"
University of Munich,Germany,Public,AQAS,9.2,"Munich, Germany"
Fachhochschule Hesse,Germany,Public,Wissenschaftsrat,8.1,"Hesse, Germany"
International University Bavaria,Germany,Public,Wissenschaftsrat,9.0,"Bavaria, Germany"
Fachhochschule Munich,Germany,Public,AQAS,7.4,"Munich, Germany"
University of Frankfurt,Germany,Public,ASIIN,7.5,"Frankfurt, Germany"
Institute of Technology Saxony,Germany,Public,FIBAA,9.3,"Saxony, Germany"
International University Hamburg,Germany,Private,AQAS,9.0,"Hamburg, Germany"
University of Karlsruhe,Germany,Public,Wissenschaftsrat,8.4,"Karlsruhe, Germany"
University of Thuringia,Germany,Public,FIBAA,9.7,"Thuringia, Germany"
Technical University of Lower Saxony,Germany,Public,FIBAA,9.2,"Lower Saxony, Germany"
Technical University of Heidelberg,Germany,Public,ASIIN,7.0,"Heidelberg, Germany"
University of Berlin,Germany,Public,FIBAA,9.0,"Berlin, Germany"
Technical University of Aachen,Germany,Private,State Accredited,9.7,"Aachen, Germany"
International University Lower Saxony,Germany,Public,ASIIN,7.3,"Lower Saxony, Germany"
Institute of Technology Hesse,Germany,Public,Wissenschaftsrat,7.6,"Hesse, Germany"
Institute of Technology Thuringia,Germany,Public,AQAS,9.7,"Thuringia, Germany"
International University Baden-Württemberg,Germany,Public,Wissenschaftsrat,7.7,"Baden-Württemberg, Germany"
Fachhochschule Heidelberg,Germany,Public,ASIIN,8.5,"Heidelberg, Germany"
Technical University of Münster,Germany,Public,FIBAA,7.8,"Münster, Germany"
International University Bonn,Germany,Private,AQAS,8.3,"Bonn, Germany"
Technical University of Rhineland-Palatinate,Germany,Private,AQAS,7.5,"Rhineland-Palatinate, Germany"
University of Baden-Württemberg,Germany,Private,Wissenschaftsrat,8.4,"Baden-Württemberg, Germany"
University of Applied Sciences Bavaria,Germany,Public,ASIIN,9.3,"Bavaria, Germany"
International University Stuttgart,Germany,Public,FIBAA,8.1,"Stuttgart, Germany"
University of Applied Sciences Düsseldorf,Germany,Public,Wissenschaftsrat,9.1,"Düsseldorf, Germany"
Hochschule Hesse,Germany,Public,ASIIN,7.4,"Hesse, Germany"
Manchester Metropolitan University,United Kingdom,Public,AACS,7.9,"Manchester, UK"
Newcastle City University,United Kingdom,Public,QAA,7.0,"Newcastle, UK"
Sheffield City University,United Kingdom,Private,Russell Group,8.5,"Sheffield, UK"
Newcastle College London,United Kingdom,Public,"AMBA, EQUIS",7.5,"Newcastle, UK"
Liverpool Royal College,United Kingdom,Public,AACS,8.2,"Liverpool, UK"
Cardiff College London,United Kingdom,Public,"AMBA, EQUIS",7.4,"Cardiff, UK"
Edinburgh College London,United Kingdom,Public,QAA,8.1,"Edinburgh, UK"
Southampton Institute,United Kingdom,Public,QAA,9.6,"Southampton, UK"
Sheffield Institute,United Kingdom,Public,QAA,9.5,"Sheffield, UK"
York Royal College,United Kingdom,Public,AACS,8.7,"York, UK"
Leeds Metropolitan University,United Kingdom,Private,QAA,7.4,"Leeds, UK"
Leeds Royal College,United Kingdom,Public,UKVI Approved,8.4,"Leeds, UK"
York Institute,United Kingdom,Public,Russell Group,8.6,"York, UK"
Bristol Institute,United Kingdom,Private,"AMBA, EQUIS",9.0,"Bristol, UK"
Manchester College London,United Kingdom,Private,QAA,8.1,"Manchester, UK"
Leeds City University,United Kingdom,Public,UKVI Approved,9.5,"Leeds, UK"
Oxford College London,United Kingdom,Public,"AMBA, EQUIS",8.1,"Oxford, UK"
Edinburgh Institute,United Kingdom,Public,QAA,9.5,"Edinburgh, UK"
Leicester College London,United Kingdom,Public,AACS,8.3,"Leicester, UK"
Newcastle Royal College,United Kingdom,Public,UKVI Approved,8.5,"Newcastle, UK"
Oxford Institute,United Kingdom,Public,UKVI Approved,9.3,"Oxford, UK"
Glasgow College London,United Kingdom,Public,UKVI Approved,8.1,"Glasgow, UK"
Nottingham Institute,United Kingdom,Public,"AMBA, EQUIS",9.0,"Nottingham, UK"
Leeds College London,United Kingdom,Public,"AMBA, EQUIS",9.1,"Leeds, UK"
Manchester Institute,United Kingdom,Private,AACS,7.8,"Manchester, UK"
Coventry Royal College,United Kingdom,Private,"AMBA, EQUIS",9.1,"Coventry, UK"
Glasgow Royal College,United Kingdom,Private,Russell Group,9.4,"Glasgow, UK"
Southampton Royal College,United Kingdom,Public,QAA,8.7,"Southampton, UK"
Nottingham College London,United Kingdom,Public,Russell Group,9.4,"Nottingham, UK"
University of Birmingham,United Kingdom,Private,"AMBA, EQUIS",8.3,"Birmingham, UK"
Edinburgh Royal College,United Kingdom,Private,UKVI Approved,9.5,"Edinburgh, UK"
Edinburgh Metropolitan University,United Kingdom,Private,"AMBA, EQUIS",7.2,"Edinburgh, UK"
Leeds Institute,United Kingdom,Public,QAA,8.9,"Leeds, UK"
University of York,United Kingdom,Public,AACS,8.3,"York, UK"
Leicester Institute,United Kingdom,Private,QAA,9.2,"Leicester, UK"
Liverpool College London,United Kingdom,Private,UKVI Approved,8.9,"Liverpool, UK"
Manchester City University,United Kingdom,Private,UKVI Approved,7.9,"Manchester, UK"
Belfast College London,United Kingdom,Public,"AMBA, EQUIS",9.8,"Belfast, UK"
University of Newcastle,United Kingdom,Private,Russell Group,8.1,"Newcastle, UK"
University of Coventry,United Kingdom,Public,QAA,8.3,"Coventry, UK"
Newcastle Institute,United Kingdom,Public,AACS,7.1,"Newcastle, UK"
Leicester Metropolitan University,United Kingdom,Public,UKVI Approved,8.8,"Leicester, UK"
Glasgow Institute,United Kingdom,Public,"AMBA, EQUIS",8.8,"Glasgow, UK"
Cardiff Royal College,United Kingdom,Private,QAA,7.8,"Cardiff, UK"
Coventry City University,United Kingdom,Private,QAA,7.4,"Coventry, UK"
Liverpool Metropolitan University,United Kingdom,Private,AACS,7.3,"Liverpool, UK"
York Metropolitan University,United Kingdom,Public,AACS,7.9,"York, UK"
Oxford Royal College,United Kingdom,Public,UKVI Approved,9.1,"Oxford, UK"
University of Leeds,United Kingdom,Private,UKVI Approved,7.9,"Leeds, UK"
London Royal College,United Kingdom,Private,UKVI Approved,8.7,"London, UK"
Coventry Institute,United Kingdom,Public,Russell Group,9.6,"Coventry, UK"
Coventry College London,United Kingdom,Public,AACS,9.7,"Coventry, UK"
Southampton College London,United Kingdom,Private,Russell Group,8.6,"Southampton, UK"
Belfast Metropolitan University,United Kingdom,Public,QAA,8.6,"Belfast, UK"
Cambridge Institute,United Kingdom,Public,"AMBA, EQUIS",7.7,"Cambridge, UK"
Nottingham Royal College,United Kingdom,Public,QAA,9.5,"Nottingham, UK"
University of London,United Kingdom,Private,QAA,8.7,"London, UK"
Belfast Royal College,United Kingdom,Private,"AMBA, EQUIS",7.6,"Belfast, UK"
Sheffield Metropolitan University,United Kingdom,Private,AACS,8.0,"Sheffield, UK"
Cardiff Metropolitan University,United Kingdom,Public,"AMBA, EQUIS",7.4,"Cardiff, UK"
London Institute,United Kingdom,Public,"AMBA, EQUIS",8.2,"London, UK"
Nottingham Metropolitan University,United Kingdom,Private,UKVI Approved,8.2,"Nottingham, UK"
Bristol College London,United Kingdom,Private,"AMBA, EQUIS",9.4,"Bristol, UK"
Leicester Royal College,United Kingdom,Private,"AMBA, EQUIS",8.7,"Leicester, UK"
Cambridge City University,United Kingdom,Private,QAA,7.2,"Cambridge, UK"
Oxford Metropolitan University,United Kingdom,Public,UKVI Approved,9.2,"Oxford, UK"
Oxford City University,United Kingdom,Private,UKVI Approved,9.3,"Oxford, UK"
Liverpool Institute,United Kingdom,Private,UKVI Approved,9.5,"Liverpool, UK"
University of Sheffield,United Kingdom,Public,Russell Group,7.3,"Sheffield, UK"
Nottingham City University,United Kingdom,Private,"AMBA, EQUIS",9.2,"Nottingham, UK"
London College London,United Kingdom,Public,"AMBA, EQUIS",7.9,"London, UK"
Manchester Royal College,United Kingdom,Public,UKVI Approved,7.3,"Manchester, UK"
Birmingham Metropolitan University,United Kingdom,Private,QAA,9.1,"Birmingham, UK"
Bristol City University,United Kingdom,Private,QAA,7.7,"Bristol, UK"
University of Belfast,United Kingdom,Public,QAA,7.7,"Belfast, UK"
Newcastle Metropolitan University,United Kingdom,Public,UKVI Approved,7.4,"Newcastle, UK"
Belfast City University,United Kingdom,Private,AACS,7.2,"Belfast, UK"
University of Cardiff,United Kingdom,Private,QAA,7.9,"Cardiff, UK"
Sheffield College London,United Kingdom,Public,AACS,7.7,"Sheffield, UK"
Leicester City University,United Kingdom,Private,AACS,8.4,"Leicester, UK"
Birmingham Institute,United Kingdom,Public,AACS,9.0,"Birmingham, UK"
Cambridge Royal College,United Kingdom,Public,"AMBA, EQUIS",8.9,"Cambridge, UK"
York City University,United Kingdom,Private,QAA,8.6,"York, UK"
University of Nottingham,United Kingdom,Private,Russell Group,9.7,"Nottingham, UK"
Coventry Metropolitan University,United Kingdom,Private,QAA,7.5,"Coventry, UK"
Cambridge Metropolitan University,United Kingdom,Private,Russell Group,8.8,"Cambridge, UK"
University of Liverpool,United Kingdom,Public,QAA,7.4,"Liverpool, UK"
Southampton Metropolitan University,United Kingdom,Private,QAA,7.2,"Southampton, UK"
Glasgow City University,United Kingdom,Private,Russell Group,8.0,"Glasgow, UK"
Glasgow Metropolitan University,United Kingdom,Private,"AMBA, EQUIS",9.6,"Glasgow, UK"
Bristol Metropolitan University,United Kingdom,Public,AACS,7.9,"Bristol, UK"
Birmingham College London,United Kingdom,Private,AACS,9.8,"Birmingham, UK"
Belfast Institute,United Kingdom,Public,QAA,8.1,"Belfast, UK"
London Metropolitan University,United Kingdom,Private,UKVI Approved,9.2,"London, UK"
Birmingham City University,United Kingdom,Private,"AMBA, EQUIS",9.3,"Birmingham, UK"
Cambridge College London,United Kingdom,Public,Russell Group,7.4,"Cambridge, UK"
University of Leicester,United Kingdom,Private,Russell Group,7.4,"Leicester, UK"
Birmingham Royal College,United Kingdom,Public,AACS,7.1,"Birmingham, UK"
London City University,United Kingdom,Private,UKVI Approved,9.2,"London, UK"
Cardiff Institute,United Kingdom,Private,UKVI Approved,9.0,"Cardiff, UK"
Pennsylvania A&M,United States,Private,AACSB,7.7,"Pennsylvania, USA"
Philadelphia Polytechnic,United States,Public,WASC,6.9,"Philadelphia, USA"
Washington D.C. A&M,United States,Public,NECHE,7.4,"Washington D.C., USA"
Pennsylvania Institute of Technology,United States,Public,NECHE,8.8,"Pennsylvania, USA"
New York Institute of Technology,United States,Private,AACSB,6.9,"New York, USA"
Virginia Polytechnic,United States,Public,ABET,7.8,"Virginia, USA"
Boston Institute of Technology,United States,Public,NECHE,8.4,"Boston, USA"
Texas A&M,United States,Private,AACSB,8.9,"Texas, USA"
University of Illinois,United States,Private,NECHE,7.8,"Illinois, USA"
New York Polytechnic,United States,Public,Higher Learning Commission,8.6,"New York, USA"
San Francisco State University,United States,Public,AACSB,9.4,"San Francisco, USA"
Massachusetts Polytechnic,United States,Public,WASC,8.3,"Massachusetts, USA"
Chicago Polytechnic,United States,Public,ABET,8.8,"Chicago, USA"
Illinois Institute of Technology,United States,Private,ABET,9.9,"Illinois, USA"
San Francisco A&M,United States,Private,AACSB,9.8,"San Francisco, USA"
Washington D.C. Institute of Technology,United States,Private,WASC,7.5,"Washington D.C., USA"
Virginia A&M,United States,Private,ABET,9.1,"Virginia, USA"
Washington D.C. State University,United States,Public,NECHE,9.0,"Washington D.C., USA"
Houston Institute of Technology,United States,Public,Higher Learning Commission,8.1,"Houston, USA"
Atlanta A&M,United States,Private,Higher Learning Commission,9.3,"Atlanta, USA"
University of Virginia,United States,Public,NECHE,7.4,"Virginia, USA"
Dallas Polytechnic,United States,Public,ABET,8.6,"Dallas, USA"
Washington D.C. Polytechnic,United States,Private,AACSB,8.7,"Washington D.C., USA"
Miami Institute of Technology,United States,Public,NECHE,6.8,"Miami, USA"
Michigan A&M,United States,Public,NECHE,6.7,"Michigan, USA"
Denver A&M,United States,Public,Higher Learning Commission,7.0,"Denver, USA"
Miami Polytechnic,United States,Public,AACSB,9.5,"Miami, USA"
Phoenix Institute of Technology,United States,Private,AACSB,8.3,"Phoenix, USA"
University of Miami,United States,Public,WASC,8.3,"Miami, USA"
San Francisco Polytechnic,United States,Private,NECHE,8.1,"San Francisco, USA"
Massachusetts State University,United States,Public,NECHE,9.9,"Massachusetts, USA"
San Francisco Institute of Technology,United States,Private,ABET,8.0,"San Francisco, USA"
Georgia Polytechnic,United States,Private,ABET,8.4,"Georgia, USA"
Illinois Polytechnic,United States,Public,AACSB,8.9,"Illinois, USA"
Miami A&M,United States,Private,WASC,9.3,"Miami, USA"
Atlanta Polytechnic,United States,Public,AACSB,7.9,"Atlanta, USA"
Arizona Polytechnic,United States,Private,WASC,7.4,"Arizona, USA"
New York A&M,United States,Public,AACSB,8.3,"New York, USA"
Phoenix Polytechnic,United States,Public,WASC,7.0,"Phoenix, USA"
Dallas A&M,United States,Public,Higher Learning Commission,7.4,"Dallas, USA"
California Polytechnic,United States,Public,WASC,7.4,"California, USA"
Florida Institute of Technology,United States,Private,Higher Learning Commission,7.3,"Florida, USA"
Los Angeles A&M,United States,Public,Higher Learning Commission,9.6,"Los Angeles, USA"
Los Angeles Institute of Technology,United States,Public,Higher Learning Commission,8.9,"Los Angeles, USA"
Seattle Polytechnic,United States,Private,Higher Learning Commission,7.6,"Seattle, USA"
Atlanta Institute of Technology,United States,Private,Higher Learning Commission,8.0,"Atlanta, USA"
Pennsylvania Polytechnic,United States,Private,ABET,6.7,"Pennsylvania, USA"
University of North Carolina,United States,Private,ABET,8.1,"North Carolina, USA"
Michigan Polytechnic,United States,Private,NECHE,9.8,"Michigan, USA"
University of Los Angeles,United States,Private,NECHE,6.9,"Los Angeles, USA"
Ohio Institute of Technology,United States,Private,WASC,6.6,"Ohio, USA"
Pennsylvania State University,United States,Private,Higher Learning Commission,6.6,"Pennsylvania, USA"
Massachusetts A&M,United States,Private,AACSB,9.5,"Massachusetts, USA"
Florida A&M,United States,Private,WASC,9.7,"Florida, USA"
Chicago State University,United States,Private,NECHE,6.5,"Chicago, USA"
University of Massachusetts,United States,Public,AACSB,8.8,"Massachusetts, USA"
Denver Institute of Technology,United States,Private,NECHE,6.9,"Denver, USA"
Los Angeles Polytechnic,United States,Public,Higher Learning Commission,7.0,"Los Angeles, USA"
Dallas State University,United States,Private,WASC,7.2,"Dallas, USA"
Michigan Institute of Technology,United States,Public,AACSB,8.0,"Michigan, USA"
Boston A&M,United States,Public,NECHE,7.2,"Boston, USA"
Boston Polytechnic,United States,Public,Higher Learning Commission,7.7,"Boston, USA"
Florida Polytechnic,United States,Public,ABET,8.0,"Florida, USA"
Georgia A&M,United States,Public,NECHE,8.9,"Georgia, USA"
University of Texas,United States,Private,AACSB,9.4,"Texas, USA"
California A&M,United States,Private,WASC,9.3,"California, USA"
New Jersey Institute of Technology,United States,Public,AACSB,8.9,"New Jersey, USA"
New Jersey Polytechnic,United States,Public,WASC,9.4,"New Jersey, USA"
Phoenix A&M,United States,Public,ABET,8.9,"Phoenix, USA"
Ohio A&M,United States,Private,ABET,9.1,"Ohio, USA"
North Carolina A&M,United States,Public,ABET,7.4,"North Carolina, USA"
North Carolina Polytechnic,United States,Private,ABET,8.4,"North Carolina, USA"
Seattle Institute of Technology,United States,Public,AACSB,7.9,"Seattle, USA"
Illinois A&M,United States,Private,ABET,7.1,"Illinois, USA"
Philadelphia A&M,United States,Public,ABET,8.8,"Philadelphia, USA"
Houston A&M,United States,Private,AACSB,9.8,"Houston, USA"
University of Washington D.C.,United States,Public,NECHE,7.7,"Washington D.C., USA"
Ohio Polytechnic,United States,Public,NECHE,9.8,"Ohio, USA"
Washington Polytechnic,United States,Private,WASC,8.3,"Washington, USA"
Texas Polytechnic,United States,Private,AACSB,8.4,"Texas, USA"
Chicago A&M,United States,Public,Higher Learning Commission,9.0,"Chicago, USA"
Arizona Institute of Technology,United States,Public,WASC,9.4,"Arizona, USA"
Chicago Institute of Technology,United States,Private,WASC,9.0,"Chicago, USA"
Denver Polytechnic,United States,Public,Higher Learning Commission,6.7,"Denver, USA"
Houston Polytechnic,United States,Public,ABET,7.4,"Houston, USA"
Texas Institute of Technology,United States,Public,Higher Learning Commission,8.3,"Texas, USA"
Los Angeles State University,United States,Public,ABET,7.2,"Los Angeles, USA"
Tokyo Metropolitan University,Japan,Public,JUAA,7.7,"Tokyo, Japan"
Nagoya Institute of Technology,Japan,Private,JUAA,9.7,"Nagoya, Japan"
Sapporo Women's University,Japan,Public,JABEE,7.0,"Sapporo, Japan"
Saitama Metropolitan University,Japan,Public,NIAD-QE,9.0,"Saitama, Japan"
Kobe Gakuin University,Japan,Public,MEXT Approved,8.1,"Kobe, Japan"
Nagoya Imperial University,Japan,Private,JUAA,9.1,"Nagoya, Japan"
Chiba Metropolitan University,Japan,Public,AACSB,6.9,"Chiba, Japan"
Tokyo International University,Japan,Private,MEXT Approved,7.4,"Tokyo, Japan"
Kitakyushu Gakuin University,Japan,Public,NIAD-QE,7.8,"Kitakyushu, Japan"
Sapporo Metropolitan University,Japan,Public,AACSB,6.7,"Sapporo, Japan"
Fukuoka Metropolitan University,Japan,Public,NIAD-QE,7.7,"Fukuoka, Japan"
University of Saitama,Japan,Public,NIAD-QE,9.7,"Saitama, Japan"
Kyoto Women's University,Japan,Public,NIAD-QE,8.6,"Kyoto, Japan"
Kitakyushu Metropolitan University,Japan,Public,AACSB,7.2,"Kitakyushu, Japan"
Hiroshima Institute of Technology,Japan,Public,JUAA,7.3,"Hiroshima, Japan"
Fukuoka Institute of Technology,Japan,Public,NIAD-QE,9.7,"Fukuoka, Japan"
Sendai Imperial University,Japan,Public,MEXT Approved,7.9,"Sendai, Japan"
Kobe Institute of Technology,Japan,Public,AACSB,8.3,"Kobe, Japan"
Yokohama Metropolitan University,Japan,Public,MEXT Approved,9.1,"Yokohama, Japan"
University of Osaka,Japan,Private,NIAD-QE,7.7,"Osaka, Japan"
Kyoto Metropolitan University,Japan,Private,AACSB,7.0,"Kyoto, Japan"
Kawasaki Institute of Technology,Japan,Public,JUAA,7.4,"Kawasaki, Japan"
Chiba Gakuin University,Japan,Private,JUAA,9.2,"Chiba, Japan"
University of Nagoya,Japan,Public,JUAA,7.1,"Nagoya, Japan"
Chiba Imperial University,Japan,Public,JABEE,9.4,"Chiba, Japan"
Kawasaki International University,Japan,Public,MEXT Approved,8.4,"Kawasaki, Japan"
Yokohama Imperial University,Japan,Public,NIAD-QE,6.8,"Yokohama, Japan"
Sapporo Imperial University,Japan,Public,NIAD-QE,9.6,"Sapporo, Japan"
Osaka International University,Japan,Private,MEXT Approved,7.3,"Osaka, Japan"
Sapporo Gakuin University,Japan,Public,AACSB,7.9,"Sapporo, Japan"
University of Yokohama,Japan,Public,JUAA,9.5,"Yokohama, Japan"
Fukuoka Women's University,Japan,Public,JUAA,6.9,"Fukuoka, Japan"
Sendai Institute of Technology,Japan,Public,NIAD-QE,7.4,"Sendai, Japan"
Osaka Women's University,Japan,Private,MEXT Approved,8.9,"Osaka, Japan"
Kobe Women's University,Japan,Private,MEXT Approved,8.1,"Kobe, Japan"
Kyoto International University,Japan,Private,AACSB,6.6,"Kyoto, Japan"
Osaka Imperial University,Japan,Public,JABEE,7.7,"Osaka, Japan"
